"","Camera","SD_Card","Round","ForestType","Forest","Season","SpecRichness","NumDeer","Inv_simp_div","Shan_div","RoadDensity50","PlotSize50","Aspect50","Slope50","P_Water50","P_Mixed50","P_Deciduous50","P_Forest50","P_Development50","P_Agriculture50","P_Shrub50","P_Wetland50","P_Herb50","PPT_50","Elevation50","Cam_Model","Cam_Orient","ForestShannon","Forest_Density","Forest_Dominance","Sap_Dominance","PPT_100","Slope100","Elevation100","RoadDensity100","PlotSize100","Cam_Orient100","Aspect100","P_Water100","P_Mixed100","P_Deciduos100","P_Forest100","P_Development100","P_Agriculture100","P_Shrub100","P_Heb100"
"1",11,13,1,"Deciduous","BC","Winter",12,7,3.84173913,1.687688183,0,7261271.09,135,1.012750387,7.168459,0.896057,60.573477,85.483871,0,0,3.942652,1.612903,2.688172,123.1381989,128,"Bushnell HD",302,1.070819106,33070.83333,26.43346531,72518.43042,95.92179871,16.05431557,117,0,7261271.087,46,87.51044464,3.150315,1.710171,49.234923,88.388838,0,6.120612,0.810081,0
"2",17,24,1,"Deciduous","BC","Winter",6,45,2.888385072,1.261958605,0.445029083,4741317.96,NA,0,3.763441,1.792115,46.057348,88.530467,0,0,1.612903,6.989247,0,96.62519836,262,"Browning ",157,1.070819106,33070.83333,26.43346531,72518.43042,98.8789978,4.044691086,142,0,6371882.833,284,315,4.140414,0,84.608461,84.608461,0,0,2.160216,0
"3",24,4,1,"Deciduous","BC","Winter",3,16,2.331606218,0.933393901,0.469279342,4741317.96,315,1.012750387,9.856631,0.358423,62.903226,86.738352,0,0,0,3.046595,0,94.88400269,255,"Bushnell HD",278,1.070819106,33070.83333,26.43346531,72518.43042,102.7360001,9.256682396,260,0.639446,4741317.962,30,302.4711914,1.170117,1.170117,23.852385,91.269127,0,0,0,1.620162
"4",30,20,1,"Deciduous","BC","Winter",NA,NA,NA,NA,0,5202084.1,303.690063,5.150652409,0,2.508961,91.935484,98.387097,0,0,2.508961,0,0,99.76599884,262,"Bushnell HD",241,1.070819106,33070.83333,26.43346531,72518.43042,99.76599884,5.150652409,262,0.322726,5202084.104,241,303.6900635,0,4.860486,78.937894,90.369037,0,0,9.630963,0
"5",11,21,2,"Deciduous","BC","Spring",NA,NA,NA,NA,0,6371882.83,135,1.012750387,2.329749,0,82.97491,85.125448,0,0,0,13.082437,0,96.86520386,147,"Bushnell HD",98,1.070819106,33070.83333,26.43346531,72518.43042,93.27200317,1.012750387,147,0,6371882.833,98,135,6.750675,0,74.527453,76.057606,0,0,0,0.990099
"6",17,8,2,"Deciduous","BC","Spring",13,13,3.094199306,1.651746669,1.23360469,4741317.96,NA,0,0,1.433692,18.817204,78.853047,0,0,8.243728,13.261649,0,96.62519836,250,"Browning ",218,1.070819106,33070.83333,26.43346531,72518.43042,98.48180389,1.012750387,231,0.309171,9505800.525,121,225,0,10.531053,29.612961,80.198019,0,0.720072,2.070207,0
"7",24,18,2,"Deciduous","BC","Spring",8,28,2.412715034,1.166864789,0,9505800.53,NA,0,3.046595,7.526882,70.071685,93.010753,0,0,0.896057,3.225806,0,97.57499695,277,"Browning ",37,1.070819106,33070.83333,26.43346531,72518.43042,119.0617981,14.88256741,227,1.181472,5202084.104,168,131.1859283,0,4.050405,60.846085,90.189019,5.580558,0,0,0
"8",30,22,2,"Deciduous","BC","Spring",9,39,3.594017094,1.537782468,0,5615631.56,98.1301041,5.051152706,0,0,100,100,0,0,0,0,0,99.28639984,274,"Bushnell HD",161,1.070819106,33070.83333,26.43346531,72518.43042,99.76599884,11.30993271,189,0.756377,5202084.104,233,180,NA,1.530153,70.29703,88.118812,2.610261,NA,8.640864,NA
"9",11,31,3,"Deciduous","BC","Summer",NA,NA,NA,NA,0.688304954,5615631.56,251.565048,2.263636112,1.075269,0,92.293907,93.548387,0,0,3.046595,2.867384,0,94.6006012,286,"Bushnell HD",256,1.070819106,33070.83333,26.43346531,72518.43042,94.92060089,2.263636112,132,0,7261271.087,304,251.5650482,0.720072,1.260126,35.553555,92.439244,0,0,0.990099,0
"10",17,7,3,"Deciduous","BC","Summer",NA,NA,NA,NA,0,5615631.56,177.709396,17.36706734,1.433692,0,95.698925,95.698925,0,0,0,3.0465595,0,94.6006012,236,"Browning ",218,1.070819106,33070.83333,26.43346531,72518.43042,91.81259918,1.012750387,132,0,7261271.087,280,225,0.450045,1.350135,35.373537,92.349235,0,0,0.990099,0
"11",24,25,3,"Deciduous","BC","Summer",NA,NA,NA,NA,0.746943063,5202084.1,14.0362425,5.885129452,0,4.83871,76.702509,97.49104,1.25448,0,0,0.537634,0,97.375,212,"Browning ",227,1.070819106,33070.83333,26.43346531,72518.43042,90.55780029,18.37304306,111,0.729694,7261271.087,51,289.7988892,0,2.250225,50.315032,74.347435,2.970297,1.80018,0.630063,0
"12",30,6,3,"Deciduous","BC","Summer",5,NA,1.167983368,0.372193902,0.787470647,9505800.53,0,5.710593224,5.913978,0.179211,83.154122,87.455197,0,0,1.971326,5.197133,0,102.7360001,305,"Bushnell HD",358,1.070819106,33070.83333,26.43346531,72518.43042,122.7335968,2.263636112,246,0,4741317.962,200,108.4349518,2.070207,3.330333,36.183618,54.455445,0,0,0,0
"13",4,12,4,"Deciduous","BC","Fall",6,6,3.414141414,1.464332607,0,6371882.83,NA,0,2.508961,0,88.172043,88.888889,0,0,0,8.064516,0,89.65440369,140,"Bushnell HD",178,1.070819106,33070.83333,26.43346531,72518.43042,96.86520386,0,250,0.450578,4741317.962,18,NA,0.810081,0.90009,22.232223,83.528353,0,0,0,1.620162
"14",18,11,4,"Deciduous","BC","Fall",NA,NA,NA,NA,1.114233878,5202084.1,258.690063,3.64697051,0,9.856631,40.501792,97.132617,0,0,0.358423,2.688172,0,85.59600067,215,"Browning ",334,1.070819106,33070.83333,26.43346531,72518.43042,99.28639984,3.64697051,215,0,5202084.104,334,258.6900635,0.180018,8.820882,49.774977,94.059405,0,0,2.160216,1.710171
"15",27,41,4,"Deciduous","BC","Fall",5,4,3.789473684,1.445185879,0.015118817,5202084.1,305.537689,6.137379646,0,4.121864,84.587814,94.086022,0,0,0,6.272401,0,91.19300079,273,"Browning ",51,1.070819106,33070.83333,26.43346531,72518.43042,96.56919861,2.8624053,210,0.742934,9505800.525,180,0,0.090009,5.130513,32.673267,61.926192,2.520252,17.191719,1.080108,0
"16",35,16,4,"Deciduous","BC","Fall",6,27,2.519412382,1.157502185,0,6371882.83,71.5650482,2.263636112,2.688172,0,82.616487,82.616487,0,0,0,14.874552,0,90.55780029,142,"Browning ",14,1.070819106,33070.83333,26.43346531,72518.43042,98.3769989,2.263636112,142,0,6371882.833,14,71.56504822,1.530153,1.080108,80.738074,86.048605,0,0,0,0
"17",8,23,1,"Pine","DEG","Winter",NA,NA,NA,NA,0,9505800.53,NA,0,0,13.261649,27.419355,86.55914,0,0,4.121864,10.215054,0,96.56919861,237,"Browning ",70,0.610648081,2238.888889,35.65043782,3577.924967,99.28639984,6.457954884,255,0.684001,5202084.104,81,6.340190887,NA,6.390639,56.79568,87.668767,0.180018,4.050405,4.680468,3.060306
"18",15,14,1,"Pine","DEG","Winter",6,64,1.50132307,0.758854937,0,7261271.09,251.565048,2.263636112,0,1.075269,27.060932,98.387097,0,0,1.612903,0,0,122.7335968,132,"Browning ",288,0.610648081,2238.888889,35.65043782,3577.924967,119.0617981,3.199601412,257,0.341941,5202084.104,78,296.5650635,0,9.630963,72.9973,95.949595,0,4.680468,0,0
"19",28,15,1,"Pine","DEG","Winter",3,NA,2.666666667,1.039720771,0,4741317.96,78.6900711,10.82504368,0,4.83871,83.691756,94.982079,0,0,0,5.197133,0,98.40180206,266,"Bushnell HD",352,0.610648081,2238.888889,35.65043782,3577.924967,104.4986038,3.64697051,250,0.619,9505800.525,185,258.6900635,0,11.611161,62.736274,98.649865,0,0,0,0
"20",29,19,1,"Pine","DEG","Winter",6,148,1.352845455,0.596271674,0,6371882.83,315,4.044691086,5.376344,0,90.143369,90.143369,0,0,2.150538,3.046595,0,94.92060089,142,"Bushnell HD",284,0.610648081,2238.888889,35.65043782,3577.924967,120.1684036,16.25391769,231,0,5615631.565,63,300.9637451,0,0,97.29973,98.559856,0,0,1.260126,0
"21",8,11,2,"Pine","DEG","Spring",1,5,1,0,1.542222632,5202084.1,315,1.012750387,0,0,58.602151,84.408603,4.301075,0,2.867384,8.781362,0,104.4089966,199,"Bushnell HD",58,0.610648081,2238.888889,35.65043782,3577.924967,94.6006012,1.012750387,128,0,7261271.087,302,135,5.670567,1.260126,57.335734,81.908191,0,0,7.380738,2.790279
"22",15,35,2,"Pine","DEG","Spring",5,7,2.571428571,1.234267866,0.661620612,7261271.09,333.434937,6.379370213,0,0.896057,58.422939,77.060931,2.867384,0,0,20.250896,0,123.1381989,99,"Browning ",206,0.610648081,2238.888889,35.65043782,3577.924967,97.68659973,2.263636112,286,0.605299,5615631.565,256,251.5650482,2.790279,0.270027,90.549055,92.709271,0,0,1.80018,0
"23",28,38,2,"Pine","DEG","Spring",7,7,2.373626374,1.224626108,0,7261271.09,90,2.8624053,1.971326,3.225806,37.634409,88.530466,0,0,3.405018,6.630824,0,91.81259918,130,"Bushnell HD",46,0.610648081,2238.888889,35.65043782,3577.924967,94.88400269,0,144,0,6371882.833,189,NA,1.890189,0,78.217822,79.207921,0,0,2.70027,0
"24",29,12,2,"Pine","DEG","Spring",3,19,1.322404372,0.4851045,0,9505800.53,335.556,8.588925362,NA,4.121864,43.189964,93.189964,0,0,0,6.989247,0,102.7360001,258,"Bushnell HD",215,0.610648081,2238.888889,35.65043782,3577.924967,89.65440369,0,140,0,6371882.833,178,NA,3.330333,0,78.937894,80.828083,0,0,0,0
"25",8,21,3,"Pine","DEG","Summer",NA,NA,NA,NA,0,5202084.1,258.690063,14.30291462,0.537634,8.243728,39.784946,85.30466,0,0,6.451613,2.508961,4.659498,104.4089966,210,"Browning ",138,0.610648081,2238.888889,35.65043782,3577.924967,119.0617981,5.885129452,212,1.071322,5202084.104,227,14.03624249,0,6.930693,65.256526,91.809181,4.230423,0,0,0
"26",18,18,3,"Pine","DEG","Summer",1,NA,1,0,0,9505800.53,333.434937,3.199601412,0,5.197133,30.286738,95.878136,0,0,4.121864,0,0,119.0617981,265,"Browning ",64,0.610648081,2238.888889,35.65043782,3577.924967,89.65440369,2.8624053,138,0,6371882.833,286,0,3.240324,0,80.378038,81.908191,0,0,0.180018,0.270027
"27",27,35,3,"Pine","DEG","Summer",NA,1,NA,NA,0,6371882.83,245.556046,8.588925362,0,0,89.605735,89.605735,0,0,4.301075,3.225806,3.584229,92.54319763,128,"Browning ",233,0.610648081,2238.888889,35.65043782,3577.924967,97.68659973,17.36706734,236,0,5615631.565,218,177.7093964,2.160216,0,92.079208,93.519352,0,0,0,0
"28",28,8,3,"Pine","DEG","Summer",NA,NA,NA,NA,0.968969565,5615631.56,333.434937,6.379370213,2.688172,3.225806,71.326165,84.22939,0,0,0,12.903225,0,92.95980072,257,"Browning ",71,0.610648081,2238.888889,35.65043782,3577.924967,92.54319763,16.05431557,257,0.537096,5615631.565,331,124.3803482,0.450045,3.060306,88.388839,97.479748,0,0,0,0
"29",1,23,4,"Pine","DEG","Fall",14,12,7.490666667,2.250959662,0,7261271.09,15.2551184,8.111279488,0.358423,1.25448,50,99.283154,0,0,0,0.358423,0,94.0141983,127,"Bushnell HD",142,0.610648081,2238.888889,35.65043782,3577.924967,96.86520386,4.168739796,250,0.999379,4741317.962,298,59.03624344,0.810081,3.870387,15.841584,80.108011,0.630063,0,0.990099,0.990099
"30",6,5,4,"Pine","DEG","Fall",NA,NA,NA,NA,0,6371882.83,0,2.8624053,0,0,91.577061,93.189964,0,0,0,6.451613,0,89.65440369,138,"Browning ",286,0.610648081,2238.888889,35.65043782,3577.924967,104.4089966,15.61612988,195,0,5615631.565,185,349.6951599,3.510351,1.170117,90.009001,95.409541,0,0,0,0
"31",33,38,4,"Pine","DEG","Fall",12,15,5.013888889,2.037460008,0.247407766,4741317.96,98.1301041,5.051152706,2.329749,1.075269,33.870968,81.362008,0,0,1.971326,14.516129,0.537634,98.40180206,249,"Browning ",235,0.610648081,2238.888889,35.65043782,3577.924967,102.7360001,5.051152706,249,0.233927,4741317.962,235,98.13010406,2.160216,1.980198,25.112511,81.9982,0,0,2.520252,1.080108
"32",37,31,4,"Pine","DEG","Fall",14,12,7.691437803,2.274623123,0,4741317.96,NA,0,1.612903,0,75.448029,82.078853,0,0,0,17.204301,0,98.40180206,249,"Browning ",173,0.610648081,2238.888889,35.65043782,3577.924967,102.7360001,0,249,0,4741317.962,173,NA,0.810081,2.160216,67.866787,85.868587,0,0,0.180018,0
"33",6,2,1,"Deciduous","DON","Winter",NA,NA,NA,NA,0,7261271.09,251.565048,2.263636112,0,1.075269,27.060932,98.387097,0,0,1.612903,0,0,94.0141983,132,"Browning ",304,1.629970763,3633.333333,26.53918644,4450.589593,96.62519836,6.379370213,276,0.670186,5202084.104,80,206.5650482,1.80018,2.970297,68.676868,92.529253,0,0.990099,0,0.990099
"34",14,22,1,"Deciduous","DON","Winter",9,22,2.815745394,1.425733686,0.19934951,5202084.1,325.30484,11.179986,0,11.290323,48.924731,93.010753,0.179211,0,0,7.168459,0,84.79499817,219,"Bushnell HD",7,1.629970763,3633.333333,26.53918644,4450.589593,92.13800049,8.588925362,258,0.046707,9505800.525,215,335.556,0,4.320432,38.073807,88.748874,0.180018,0,1.170117,3.420342
"35",21,21,1,"Deciduous","DON","Winter",6,NA,1.315305762,0.570371424,0,5202084.1,296.565063,3.199601412,0,9.856631,80.286738,98.387097,0,0.896057,0,0,0,92.13800049,257,"Bushnell HD",78,1.629970763,3633.333333,26.53918644,4450.589593,92.95980072,3.035723686,253,0.551039,9505800.525,232,0,0,3.870387,29.522952,89.558956,0,6.660666,3.420342,0
"36",27,8,1,"Deciduous","DON","Winter",8,5,4.313432836,1.727463557,0.054430636,4741317.96,315,1.012750387,1.25448,3.225806,31.72043,86.559139,0,0,0,10.035842,2.150538,94.6989975,256,"Browning ",348,1.629970763,3633.333333,26.53918644,4450.589593,120.1684036,10.82504368,255,0.594524,5615631.565,51,78.69007111,3.240324,1.170117,83.168317,90.9991,0,0,0,0
"37",6,9,2,"Deciduous","DON","Spring",NA,NA,NA,NA,1.025270355,7261271.09,289.798889,18.37304306,0,3.942652,56.272401,83.154121,4.301075,0.896057,0.179211,12.18638,0,91.68359375,111,"Browning ",51,1.629970763,3633.333333,26.53918644,4450.589593,90.55780029,3.64697051,134,0,7261271.087,146,258.6900635,2.070207,1.440144,46.264626,74.167416,0,0,4.950495,1.980198
"38",14,5,2,"Deciduous","DON","Spring",5,2,1.95202952,1.003165921,1.610240456,4741317.96,225,1.012750387,0,0.537634,24.551971,86.021505,0,0,8.064516,3.584229,1.971326,96.62519836,254,"Bushnell HD",334,1.629970763,3633.333333,26.53918644,4450.589593,94.0141983,8.984876633,126,0.102861,6371882.833,222,288.4349365,0.630063,1.080108,67.866787,76.777678,0.270027,0,0,0.810081
"39",21,1,2,"Deciduous","DON","Spring",3,8,1.350337584,0.475033902,0,7261271.09,265.601288,9.256682396,16.129032,0,57.885305,71.505377,0,0,3.046595,10.035842,0,120.1684036,122,"Bushnell HD",30,1.629970763,3633.333333,26.53918644,4450.589593,104.4089966,9.256682396,270,0.606199,5615631.565,244,237.5288086,0.810081,1.620162,94.779478,99.009901,0,0,0,0
"40",27,3,2,"Deciduous","DON","Spring",3,4,2.181818182,0.887694276,0,4741317.96,108.434952,2.263636112,0,5.017921,35.483871,52.688172,0,0,0,47.491039,0,94.88400269,246,"Browning ",200,1.629970763,3633.333333,26.53918644,4450.589593,91.68359375,18.54197884,156,0.448026,6371882.833,234,153.4349518,0,0,54.275428,54.275428,1.980198,10.171017,9.540954,0.090009
"41",1,12,3,"Deciduous","DON","Summer",NA,NA,NA,NA,0.820084703,5202084.1,206.565048,6.379370213,1.792115,1.971326,58.602151,91.218638,0,0,0,7.168459,0,104.4089966,276,"Bushnell HD",80,1.629970763,3633.333333,26.53918644,4450.589593,99.28639984,11.179986,219,0.782655,5202084.104,7,325.3048401,0,8.10081,56.075608,90.369037,3.690369,0,0,0
"42",6,41,3,"Deciduous","DON","Summer",8,37,2.645256335,1.30550995,0.44764805,5615631.56,124.380348,16.05431557,0,2.867384,91.397849,97.491039,0,0,0,2.329749,0,97.68659973,257,"Browning ",331,1.629970763,3633.333333,26.53918644,4450.589593,104.4089966,11.69020844,227,0,5615631.565,278,295.0169067,0,0.630063,95.769577,98.559856,0,0,0,0
"43",7,9,3,"Deciduous","DON","Summer",1,NA,1,0,0,4741317.96,NA,0,0.179211,0,17.204301,85.663082,0,0,0,13.261649,1.433692,87.71920013,250,"Browning ",18,1.629970763,3633.333333,26.53918644,4450.589593,83.87879944,4.520227432,222,0,9505800.525,224,341.5651,1.080108,10.441044,31.50315,84.878487,0,2.340234,0,0
"44",33,23,3,"Deciduous","DON","Summer",9,14,3.18877551,1.469562287,0.599027752,5202084.1,206.565048,3.199601412,1.075269,2.688172,60.573477,77.240144,4.121864,0,8.243728,6.451613,3.405018,99.76599884,200,"Browning ",21,1.629970763,3633.333333,26.53918644,4450.589593,123.1381989,1.012750387,256,0.249187,4741317.962,348,315,2.610261,2.430243,35.643564,85.778577,0,0,0.810081,1.080108
"45",10,35,4,"Deciduous","DON","Fall",6,2,1.453313804,0.733151618,0.676785306,9505800.53,315,1.012750387,0,2.329749,29.21147,89.247312,0,4.83871,6.451613,0,0,119.0617981,263,"Bushnell HD",178,1.629970763,3633.333333,26.53918644,4450.589593,94.6989975,3.199601412,147,0,6371882.833,199,296.5650635,4.140414,0,83.438344,83.438344,0,0,3.330333,0
"46",14,25,4,"Deciduous","DON","Fall",5,2,4.571428571,1.559581156,1.053959516,5615631.56,108.434952,8.984876633,1.075269,2.867384,84.946237,87.813621,0,0,0,10.035842,0,95.92179871,279,"Browning ",196,1.629970763,3633.333333,26.53918644,4450.589593,119.0617981,6.137379646,273,0.804834,5202084.104,51,305.5376892,0,3.960396,76.417642,94.059406,0,0.450045,0,0.360036
"47",21,40,4,"Deciduous","DON","Fall",9,NA,4.651162791,1.860534377,0.763104644,9505800.53,258.690063,3.64697051,0,12.724014,63.978495,98.924731,0,0,0,0,0,98.8789978,250,"Bushnell HD",185,1.629970763,3633.333333,26.53918644,4450.589593,99.76599884,0,196,0.357784,5202084.104,17,NA,0,0,41.944194,50.765076,0.090009,14.311431,28.892889,0
